Dates;PX_LAST
24/12/2021;0.035829
25/12/2021;-0.040714
26/12/2021;-0.031651
27/12/2021;-0.011211
28/12/2021;0.007175
29/12/2021;0.016327
30/12/2021;0.01441
31/12/2021;0.021338
01/01/2022;0.035192
02/01/2022;0.05392
03/01/2022;0.070225
04/01/2022;0.089488
05/01/2022;0.084079
06/01/2022;0.064283
07/01/2022;0.056358
08/01/2022;0.048023
09/01/2022;0.056333
10/01/2022;0.057004
11/01/2022;0.035286
12/01/2022;0.026093
13/01/2022;0.019246
14/01/2022;0.003427
15/01/2022;0.019879
16/01/2022;0.017672
17/01/2022;0.025578
18/01/2022;0.01298
19/01/2022;0.009253
20/01/2022;0.01791
21/01/2022;0.006517
22/01/2022;-0.018466
23/01/2022;-0.018752
24/01/2022;-0.024246
25/01/2022;-0.040316
26/01/2022;-0.054287
27/01/2022;-0.050963
28/01/2022;-0.061366
29/01/2022;-0.065338
30/01/2022;-0.067234
31/01/2022;-0.069904
01/02/2022;-0.073052
02/02/2022;-0.063596
03/02/2022;-0.069437
04/02/2022;-0.064962
05/02/2022;-0.026994
06/02/2022;-0.025567
07/02/2022;-0.02775
08/02/2022;-0.036286
09/02/2022;-0.03119
10/02/2022;-0.026257
11/02/2022;-0.041889
12/02/2022;-0.048234
13/02/2022;-0.027287
14/02/2022;-0.01931
15/02/2022;-0.0217
16/02/2022;-0.02339
17/02/2022;-0.023381
18/02/2022;-0.03257
19/02/2022;-0.03833
20/02/2022;-0.044373
21/02/2022;-0.030612
22/02/2022;-0.04253
23/02/2022;-0.057413
24/02/2022;-0.065693
25/02/2022;-0.089811
26/02/2022;-0.099203
27/02/2022;-0.111239
28/02/2022;-0.121622
01/03/2022;-0.147956
02/03/2022;-0.149454
03/03/2022;-0.156135
04/03/2022;-0.154876
05/03/2022;-0.164556
06/03/2022;-0.172703
07/03/2022;-0.172946
08/03/2022;-0.187818
09/03/2022;-0.196307
10/03/2022;-0.189003
11/03/2022;-0.208579
12/03/2022;-0.206427
13/03/2022;-0.187609
14/03/2022;-0.173467
15/03/2022;-0.194135
16/03/2022;-0.198878
17/03/2022;-0.204428
18/03/2022;-0.209205
19/03/2022;-0.221832
20/03/2022;-0.212755
21/03/2022;-0.220136
22/03/2022;-0.209418
23/03/2022;-0.200258
24/03/2022;-0.210702
25/03/2022;-0.216636
26/03/2022;-0.20538
27/03/2022;-0.181517
28/03/2022;-0.180429
29/03/2022;-0.164381
30/03/2022;-0.143687
31/03/2022;-0.152788
01/04/2022;-0.13841
02/04/2022;-0.118055
03/04/2022;-0.119757
04/04/2022;-0.116247
05/04/2022;-0.118673
06/04/2022;-0.134131
07/04/2022;-0.142387
08/04/2022;-0.154595
09/04/2022;-0.15611
10/04/2022;-0.145921
11/04/2022;-0.140375
12/04/2022;-0.141466
13/04/2022;-0.14615
14/04/2022;-0.14125
15/04/2022;-0.129539
16/04/2022;-0.109747
17/04/2022;-0.08448
18/04/2022;-0.075077
19/04/2022;-0.067279
20/04/2022;-0.050757
21/04/2022;-0.053866
22/04/2022;-0.060354
23/04/2022;-0.059654
24/04/2022;-0.056741
25/04/2022;-0.027243
26/04/2022;-0.014834
27/04/2022;-0.006991
28/04/2022;-0.023991
29/04/2022;-0.037972
30/04/2022;-0.051272
01/05/2022;-0.068531
02/05/2022;-0.072037
03/05/2022;-0.069274
04/05/2022;-0.066743
05/05/2022;-0.068337
06/05/2022;-0.074623
07/05/2022;-0.082632
08/05/2022;-0.075462
09/05/2022;-0.069644
10/05/2022;-0.070379
11/05/2022;-0.078299
12/05/2022;-0.078687
13/05/2022;-0.065195
14/05/2022;-0.06011
15/05/2022;-0.045493
16/05/2022;-0.041421
17/05/2022;-0.026981
18/05/2022;-0.042444
19/05/2022;-0.067775
20/05/2022;-0.078689
21/05/2022;-0.088061
22/05/2022;-0.088656
23/05/2022;-0.076487
24/05/2022;-0.089787
25/05/2022;-0.109724
26/05/2022;-0.116619
27/05/2022;-0.102872
28/05/2022;-0.087933
29/05/2022;-0.077706
30/05/2022;-0.061536
31/05/2022;-0.063981
01/06/2022;-0.047407
02/06/2022;-0.040953
03/06/2022;-0.028608
04/06/2022;-0.021708
05/06/2022;-0.005527
06/06/2022;-0.006905
07/06/2022;-0.031453
08/06/2022;-0.048282
09/06/2022;-0.06534
10/06/2022;-0.07121
11/06/2022;-0.093975
12/06/2022;-0.092258
13/06/2022;-0.097988
14/06/2022;-0.106829
15/06/2022;-0.127905
16/06/2022;-0.136666
17/06/2022;-0.1525
18/06/2022;-0.1567
19/06/2022;-0.169369
20/06/2022;-0.150106
21/06/2022;-0.157947
22/06/2022;-0.172261
23/06/2022;-0.185987
24/06/2022;-0.195855
25/06/2022;-0.174568
26/06/2022;-0.169127
27/06/2022;-0.168722
28/06/2022;-0.176667
29/06/2022;-0.168456
30/06/2022;-0.179631
01/07/2022;-0.181372
02/07/2022;-0.180288
03/07/2022;-0.177293
04/07/2022;-0.178102
05/07/2022;-0.188016
06/07/2022;-0.209888
07/07/2022;-0.205921
08/07/2022;-0.200127
09/07/2022;-0.181634
10/07/2022;-0.186746
11/07/2022;-0.169679
12/07/2022;-0.177598
13/07/2022;-0.179962
14/07/2022;-0.198678
15/07/2022;-0.197037
16/07/2022;-0.185609
17/07/2022;-0.191784
18/07/2022;-0.2023
19/07/2022;-0.195013
20/07/2022;-0.20881
21/07/2022;-0.200302
22/07/2022;-0.200889
23/07/2022;-0.19028
24/07/2022;-0.184041
25/07/2022;-0.206652
26/07/2022;-0.216549
27/07/2022;-0.215628
28/07/2022;-0.225238
29/07/2022;-0.229643
30/07/2022;-0.226288
31/07/2022;-0.216533
01/08/2022;-0.214591
02/08/2022;-0.212398
03/08/2022;-0.212098
04/08/2022;-0.223443
05/08/2022;-0.216665
06/08/2022;-0.199631
07/08/2022;-0.173929
08/08/2022;-0.160001
09/08/2022;-0.147188
10/08/2022;-0.130203
11/08/2022;-0.130011
12/08/2022;-0.115274
13/08/2022;-0.096712
14/08/2022;-0.060979
15/08/2022;-0.05666
16/08/2022;-0.070063
17/08/2022;-0.062631
18/08/2022;-0.057815
19/08/2022;-0.050638
20/08/2022;-0.040722
21/08/2022;-0.028249
22/08/2022;-0.040446
23/08/2022;-0.039733
24/08/2022;-0.0717
25/08/2022;-0.080641
26/08/2022;-0.099233
27/08/2022;-0.09736
28/08/2022;-0.085927
29/08/2022;-0.099962
30/08/2022;-0.097478
31/08/2022;-0.11142
01/09/2022;-0.124765
02/09/2022;-0.111449
03/09/2022;-0.092801
04/09/2022;-0.10395
05/09/2022;-0.088037
06/09/2022;-0.095906
07/09/2022;-0.095176
08/09/2022;-0.092046
09/09/2022;-0.082509
10/09/2022;-0.074438
11/09/2022;-0.074073
12/09/2022;-0.073682
13/09/2022;-0.078243
14/09/2022;-0.087917
15/09/2022;-0.082903
16/09/2022;-0.088202
17/09/2022;-0.080374
18/09/2022;-0.101657
19/09/2022;-0.101914
20/09/2022;-0.113379
21/09/2022;-0.121837
22/09/2022;-0.131604
23/09/2022;-0.135477
24/09/2022;-0.120421
25/09/2022;-0.111219
26/09/2022;-0.135332
27/09/2022;-0.147624
28/09/2022;-0.14624
29/09/2022;-0.155038
30/09/2022;-0.177691
01/10/2022;-0.188903
02/10/2022;-0.191059
03/10/2022;-0.184305
04/10/2022;-0.182462
05/10/2022;-0.201042
06/10/2022;-0.235503
07/10/2022;-0.236168
08/10/2022;-0.231336
09/10/2022;-0.195751
10/10/2022;-0.190629
11/10/2022;-0.201371
12/10/2022;-0.233093
13/10/2022;-0.245122
14/10/2022;-0.254612
15/10/2022;-0.237342
16/10/2022;-0.231668
17/10/2022;-0.219718
18/10/2022;-0.220671
19/10/2022;-0.222397
20/10/2022;-0.233126
21/10/2022;-0.258307
22/10/2022;-0.282305
23/10/2022;-0.279825
24/10/2022;-0.263961
25/10/2022;-0.246216
26/10/2022;-0.253667
27/10/2022;-0.255875
28/10/2022;-0.252242
29/10/2022;-0.227392
30/10/2022;-0.204595
31/10/2022;-0.194154
01/11/2022;-0.190088
02/11/2022;-0.183934
03/11/2022;-0.169906
04/11/2022;-0.161492
05/11/2022;-0.146383
06/11/2022;-0.140964
07/11/2022;-0.122633
08/11/2022;-0.11797
09/11/2022;-0.117379
10/11/2022;-0.127036
11/11/2022;-0.127686
12/11/2022;-0.153703
13/11/2022;-0.137003
14/11/2022;-0.121091
15/11/2022;-0.108352
16/11/2022;-0.102928
17/11/2022;-0.107363
18/11/2022;-0.107566
19/11/2022;-0.118731
20/11/2022;-0.104261
21/11/2022;-0.103925
22/11/2022;-0.124609
23/11/2022;-0.130453
24/11/2022;-0.131818
25/11/2022;-0.126912
26/11/2022;-0.112062
27/11/2022;-0.106232
28/11/2022;-0.10063
29/11/2022;-0.098737
30/11/2022;-0.094288
01/12/2022;-0.093896
02/12/2022;-0.088763
03/12/2022;-0.078577
04/12/2022;-0.097959
05/12/2022;-0.111205
06/12/2022;-0.114067
07/12/2022;-0.114628
08/12/2022;-0.122527
09/12/2022;-0.14864
10/12/2022;-0.163281
11/12/2022;-0.153439
12/12/2022;-0.15596
13/12/2022;-0.154658
14/12/2022;-0.15564
15/12/2022;-0.144216
16/12/2022;-0.143457
17/12/2022;-0.168542
18/12/2022;-0.166438
19/12/2022;-0.161229
20/12/2022;-0.15314
21/12/2022;-0.151721
22/12/2022;-0.151762
23/12/2022;-0.146658
24/12/2022;-0.137174
25/12/2022;-0.124655
26/12/2022;-0.099502
27/12/2022;-0.098356
28/12/2022;-0.088011
29/12/2022;-0.08254
30/12/2022;-0.081639
